6
6
4
6;0;0;0;
7;2;1;1;
8;2;1;2;
9;4;3;3;
10;5;3;4;
5;5;4;5;
12;7;6;0;
7;7;6;1;
8;9;8;2;
9;9;8;3;
10;11;10;4;
17;11;10;11;
18;12;12;6;
19;14;13;13;
20;14;13;14;
21;16;15;15;
16;17;15;16;
17;17;16;11;
18;19;18;12;
19;19;18;13;
26;20;20;14;
21;22;21;15;
22;23;21;22;
29;23;22;23;
24;25;24;24;
31;25;24;25;
26;26;26;20;
33;28;27;27;
28;29;27;28;
35;29;28;23;
30;31;30;30;
31;32;30;25;
32;33;31;32;
33;33;32;27;
34;35;34;34;
35;35;34;29;
-1;-10;-10;-10;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-1;-10;-10;
-1;-1;-1;-10;
-10;-10;-1;-10;
-1;-1;-10;-1;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-10;-1;-10;-1;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-1;-10;-1;-10;
-10;-1;-10;-10;
-1;-10;-1;-10;
-10;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-1;-10;-1;-1;
-10;-1;-10;-10;
-10;-1;-1;-1;
-10;-1;-1;-10;
-10;-10;-1;-1;
-10;-1;-10;-10;
-10;-10;-1;-1;
