5
5
4
5;1;0;0;
1;1;0;1;
7;3;2;2;
3;4;2;3;
9;4;3;4;
5;6;5;0;
6;7;5;6;
7;7;6;2;
13;8;8;8;
14;9;9;4;
15;11;10;10;
16;12;10;11;
12;13;11;12;
18;13;12;8;
19;14;14;9;
20;15;15;10;
21;16;16;11;
17;18;17;17;
18;18;17;13;
24;19;19;14;
20;20;20;15;
21;22;21;16;
22;23;21;22;
23;24;22;23;
24;24;23;19;
-1;-1;-10;-10;
-10;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-10;-1;-1;
-1;-10;-10;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-1;-1;-10;
-10;-1;-1;-10;
-1;-10;-1;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-10;
-10;-10;-1;-1;
-1;-10;-10;-1;
-10;-10;-10;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
