10
10
4
10;0;0;0;
11;2;1;1;
12;3;1;2;
3;3;2;3;
14;5;4;4;
15;5;4;5;
6;7;6;6;
17;8;6;7;
18;8;7;8;
19;9;9;9;
10;11;10;0;
11;11;10;1;
22;12;12;2;
13;14;13;13;
14;14;13;4;
15;16;15;5;
26;16;15;16;
27;17;17;7;
18;19;18;8;
19;19;18;9;
30;21;20;20;
21;22;20;21;
22;23;21;12;
33;23;22;23;
34;25;24;24;
25;26;24;25;
26;26;25;16;
37;27;27;17;
38;29;28;28;
39;29;28;29;
40;31;30;20;
41;31;30;31;
32;33;32;32;
43;33;32;23;
34;35;34;24;
35;36;34;35;
46;36;35;36;
37;38;37;27;
38;38;37;28;
49;39;39;29;
50;40;40;30;
41;42;41;31;
52;42;41;42;
53;43;43;33;
54;45;44;44;
55;45;44;45;
56;46;46;36;
57;48;47;47;
58;48;47;48;
59;49;49;39;
60;50;50;40;
61;51;51;51;
62;52;52;42;
53;54;53;43;
54;54;53;44;
65;55;55;45;
56;57;56;46;
57;57;56;47;
68;58;58;48;
69;59;59;49;
70;61;60;50;
61;61;60;51;
72;62;62;52;
73;64;63;63;
64;65;63;64;
65;66;64;55;
66;67;65;66;
67;67;66;67;
68;69;68;58;
79;69;68;59;
70;70;70;60;
81;72;71;71;
72;72;71;62;
73;73;73;63;
84;75;74;74;
75;76;74;75;
76;77;75;76;
77;78;76;77;
88;78;77;78;
89;79;79;69;
90;81;80;80;
81;81;80;71;
92;83;82;82;
93;83;82;83;
84;85;84;74;
85;86;84;85;
96;86;85;86;
97;87;87;87;
88;89;88;78;
89;89;88;79;
90;91;90;80;
91;92;90;91;
92;92;91;82;
93;94;93;83;
94;95;93;94;
95;96;94;95;
96;97;95;86;
97;98;96;87;
98;99;97;98;
99;99;98;99;
-1;-10;-10;-10;
-1;-1;-10;-10;
-1;-1;-1;-10;
-10;-10;-1;-10;
-1;-1;-10;-10;
-1;-10;-1;-10;
-10;-1;-10;-10;
-1;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-10;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-10;-1;-10;-10;
-10;-10;-1;-1;
-10;-1;-10;-1;
-1;-10;-1;-10;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-1;
-1;-10;-1;-10;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-1;-10;-1;
-1;-10;-1;-10;
-10;-1;-10;-10;
-1;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-1;-10;-1;-10;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-10;-10;-10;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-10;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-10;-10;-1;
-1;-1;-10;-1;
-10;-10;-1;-1;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-1;
-10;-1;-1;-10;
-10;-10;-1;-10;
-10;-1;-10;-1;
-1;-10;-1;-1;
-10;-10;-10;-1;
-1;-1;-10;-10;
-10;-10;-1;-1;
-10;-10;-10;-1;
-1;-1;-10;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-1;
-1;-1;-10;-10;
-10;-10;-1;-1;
-1;-1;-10;-10;
-1;-10;-1;-10;
-10;-1;-10;-1;
-10;-1;-1;-10;
-1;-10;-1;-10;
-1;-10;-10;-10;
-10;-1;-10;-1;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-10;-1;-1;
-10;-1;-10;-1;
-10;-1;-1;-10;
-10;-1;-1;-10;
-10;-1;-1;-1;
-10;-1;-1;-1;
-10;-1;-1;-10;
-10;-10;-1;-10;
