6.400000000000000000e+03,8.368000000000000000e+03,1.112100000000000000e+04,8.516000000000000000e+03,5.213000000000000000e+03,5.152000000000000000e+03,6.812000000000000000e+03,8.213000000000000000e+03,6.650000000000000000e+03,5.397000000000000000e+03
6.661000000000000000e+03,7.299000000000000000e+03,1.322300000000000000e+04,5.313000000000000000e+03,5.213000000000000000e+03,5.245000000000000000e+03,5.035000000000000000e+03,8.080000000000000000e+03,6.011000000000000000e+03,5.831000000000000000e+03
2.032300000000000000e+04,1.867800000000000000e+04,1.814800000000000000e+04,1.446800000000000000e+04,5.487000000000000000e+03,5.439000000000000000e+03,5.121000000000000000e+03,8.052000000000000000e+03,8.618000000000000000e+03,8.519000000000000000e+03
2.662700000000000000e+04,1.980900000000000000e+04,9.290000000000000000e+03,1.343500000000000000e+04,5.268000000000000000e+03,5.223000000000000000e+03,5.422000000000000000e+03,8.405000000000000000e+03,8.671000000000000000e+03,8.730000000000000000e+03
2.508700000000000000e+04,1.811400000000000000e+04,1.750600000000000000e+04,1.107600000000000000e+04,8.700000000000000000e+03,8.442000000000000000e+03,5.522000000000000000e+03,5.974000000000000000e+03,6.352000000000000000e+03,9.141000000000000000e+03
2.216900000000000000e+04,5.399000000000000000e+03,1.716700000000000000e+04,9.910000000000000000e+03,9.292000000000000000e+03,8.374000000000000000e+03,5.516000000000000000e+03,5.835000000000000000e+03,7.057000000000000000e+03,9.591000000000000000e+03
1.756600000000000000e+04,7.622000000000000000e+03,1.697400000000000000e+04,6.371000000000000000e+03,6.709000000000000000e+03,8.373000000000000000e+03,6.805000000000000000e+03,6.302000000000000000e+03,8.125000000000000000e+03,1.134600000000000000e+04
0.000000000000000000e+00,1.661800000000000000e+04,1.669900000000000000e+04,6.145000000000000000e+03,1.155900000000000000e+04,1.158900000000000000e+04,1.159300000000000000e+04,1.150100000000000000e+04,1.157900000000000000e+04,1.141900000000000000e+04
1.567400000000000000e+04,1.623500000000000000e+04,1.593700000000000000e+04,1.636600000000000000e+04,1.186000000000000000e+04,1.248200000000000000e+04,1.358500000000000000e+04,8.646000000000000000e+03,1.154300000000000000e+04,1.183900000000000000e+04
1.588900000000000000e+04,1.609300000000000000e+04,1.586400000000000000e+04,1.674300000000000000e+04,1.651600000000000000e+04,1.674200000000000000e+04,1.677600000000000000e+04,1.193800000000000000e+04,8.895000000000000000e+03,7.684000000000000000e+03
